"id";"customer_id";"order_date";"price";"cogs";"payment_method";"sku_name";"category";"qty_ordered";"before_discount";"discount_amount";"after_discount";"is_gross";"is_valid";"is_net";"brand"
"ODR9666029594l";"C232436L";"2021-08-10";730742.0;628430.0;"cod";"Infinix Hot 4 Hazir-Gold-Rawalpindi";"Mobiles & Tablets";2;1461484.0;0.0;1461484.0;1;1;0;"others"
"ODR9668304214m";"C678257L";"2021-10-12";730742.0;482270.0;"cod";"Infinix Hot 4-Gold";"Mobiles & Tablets";3;2192226.0;0.0;2192226.0;1;1;1;"others"
"ODR9669707464n";"C592986L";"2021-03-10";400200.0;292146.0;"cod";"nabila_Nlight FOR creamy";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;1;"others"
"ODR9670890951a";"C693623L";"2022-01-03";400200.0;277530.0;"cod";"nabila_Nchant FOR Olive";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;1;1;"others"
"ODR9672522174e";"C746973L";"2022-06-17";118320.0;86362.0;"cod";"RAF_800mlx12";"Superstore";2;236640.0;0.0;236640.0;1;0;0;"others"
"ODR9672825775g";"C675024L";"2021-09-11";46342.0;30102.0;"cod";"Ctees_BH-K-HPR-L";"Kids & Baby";1;46342.0;0.0;46342.0;1;1;1;"others"
"ODR9675331050r";"C242328L";"2022-06-04";55042.0;42920.0;"cod";"EtrierW_MT21-L";"Men Fashion";5;275210.0;0.0;275210.0;1;0;0;"others"
"ODR9676420233p";"C198663L";"2021-07-21";400200.0;272136.0;"mygateway";"nabila_Ngage FOR Honey";"Beauty & Grooming";1;400200.0;0.0;400200.0;1;0;0;"others"
"ODR9677235043h";"C613601L";"2022-05-04";77140.0;52432.0;"cod";"AT-Army-Dress-24";"Kids & Baby";1;77140.0;0.0;77140.0;1;1;0;"others"
"ODR9678866692f";"C607251L";"2021-09-18";31900.0;23896.0;"cod";"jn_900g";"Superstore";1;31900.0;0.0;31900.0;1;1;1;"others"
"ODR9679587754o";"C656022L";"2021-01-11";121220.0;81200.0;"cod";"sinbo_7052";"Beauty & Grooming";1;121220.0;0.0;121220.0;1;0;0;"others"
